Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location
20190038972,01/15/2019 07:40:00 PM,2,0,0,,N,256374,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,BELL RD & CEDAR POINTE PKWY,ANTIOCH,TN,37013,8753,SOUTH,36.0449,-86.6671,POINT (-86.6671 36.0449)
20190045402,01/17/2019 11:09:00 PM,2,0,0,,Y,405424,11,Front to Rear,2,RAIN,3,DARK - LIGHTED,14,PARKED MOTOR VEHICLE,3248 PERCY PRIEST DR,NASHVILLE,TN,37214,8955,HERMIT,36.1531,-86.6291,POINT (-86.6291 36.1531)
20190051468,01/20/2019 12:57:00 PM,2,0,0,,N,834798,6,SIDESWIPE - OPPOSITE DIRECTION,21,CLEAR,1,DAYLIGHT,14,PARKED MOTOR VEHICLE,700 THOMPSON LN,NASHVILLE,TN,37204,8305,MIDTOW,36.1122,-86.7625,POINT (-86.7625 36.1122)
20190088097,02/02/2019 12:38:00 AM,2,0,0,,Y,660929,4,ANGLE,21,CLEAR,2,DARK - NOT LIGHTED,12;14,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE,400 RADNO,NASHVILLE,TN,,,,36.0483,-86.4369,POINT (-86.4369 36.0483)
20190091289,02/03/2019 01:25:00 PM,2,0,0,,N,212369,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,ELLINGTON AG CENTER PVTDR & EDMONDSON PK,NASHVILLE,TN,37220,8615,MIDTOW,36.0618,-86.7405,POINT (-86.7405 36.0618)
20190096838,02/05/2019 12:30:00 PM,2,0,0,,N,267831,98,OTHER,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,HILLSBORO PKE & SHARONDALE DR,NASHVILLE,TN,,6001,WEST,,,
20190178821,03/06/2019 05:38:00 PM,2,0,0,,N,151132,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,FREDA VILLA & S GRAYCROFT AV,MADISON,TN,37115,1799,MADISO,36.2465,-86.7355,POINT (-86.7355 36.2465)
20190214314,03/19/2019 05:12:00 PM,3,0,0,,N,134871,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 49 4 I 24,NASHVILLE,TN,37206,10040,EAST,36.1613,-86.7604,POINT (-86.7604 36.1613)
20190235478,03/26/2019 07:13:00 PM,2,0,0,,Y,330428,11,Front to Rear,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,CHARLOTTE AV & 46TH AVN,NASHVILLE,TN,37209,5203,WEST,36.1522,-86.8422,POINT (-86.8422 36.1522)
20190243032,03/29/2019 07:39:00 AM,2,0,0,,N,110063,98,OTHER,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 86 2 I 65,NASHVILLE,TN,37207,1910,CENTRA,36.1919,-86.7812,POINT (-86.7812 36.1919)
20190312621,04/23/2019 10:55:00 AM,2,0,0,,N,226622,4,ANGLE,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 1 1 I 440,NASHVILLE,TN,37205,5234,WEST,36.1447,-86.8224,POINT (-86.8224 36.1447)
20190338460,05/02/2019 05:09:00 PM,2,0,0,,N,320585,11,Front to Rear,21,CLEAR,,,12,MOTOR VEHICLE IN TRANSPORT,MM 211 9 I 40,NASHVILLE,TN,37210,90022,HERMIT,36.1487,-86.7459,POINT (-86.7459 36.1487)
20190346686,05/06/2019 08:15:00 AM,2,1,0,Y,N,320601,4,ANGLE,21,CLEAR,1,DAYLIGHT,1;12,MOTOR VEHICLE IN TRANSPORT,WHEELER AV & FLORAL DR,NASHVILLE,TN,37211,8435,SOUTH,36.0956,-86.7345,POINT (-86.7345 36.0956)
20190376007,05/16/2019 06:37:00 PM,2,0,0,,Y,352189,4,ANGLE,21,CLEAR,1,DAYLIGHT,14,PARKED MOTOR VEHICLE,2900 E TRINITY LN,NASHVILLE,TN,37216,1851,EAST,36.2032,-86.7397,POINT (-86.7397 36.2032)
20190423225,06/03/2019 03:36:00 PM,2,0,0,,N,169425,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 1 5 I 440,NASHVILLE,TN,37209,5232,WEST,36.1508,-86.8228,POINT (-86.8228 36.1508)
20190460073,06/17/2019 04:20:00 PM,2,0,0,,N,279225,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MOSSDALE DR & BELL RD,NASHVILLE,TN,37217,8937,HERMIT,36.0828,-86.6287,POINT (-86.6287 36.0828)
20190521589,07/12/2019 05:45:00 AM,2,0,0,,N,192379,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 87 0 I 65,NASHVILLE,TN,37207,18020,EAST,36.2018,-86.7766,POINT (-86.7766 36.2018)
20190537481,07/18/2019 02:51:00 PM,4,0,0,,N,716886,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 1 6 I 440,NASHVILLE,TN,37209,5230,WEST,36.1531,-86.8228,POINT (-86.8228 36.1531)
20190540298,07/19/2019 04:30:00 PM,2,0,0,,Y,299238,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,S 6TH ST & WOODLAND ST,NASHVILLE,TN,37206,1117,EAST,36.1726,-86.7628,POINT (-86.7628 36.1726)
20190549470,07/23/2019 12:40:00 PM,4,3,0,Y,N,902543,4,ANGLE,21,CLEAR,1,DAYLIGHT,1;12,MOTOR VEHICLE IN TRANSPORT,MM 90 7 I 65,MADISON,TN,37115,20044,MADISO,36.2444,-86.7473,POINT (-86.7473 36.2444)
20190552118,07/24/2019 11:15:00 AM,2,2,0,,N,332215,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,LOMBARDY AV & HILLSBORO PKE,NASHVILLE,TN,,6001,WEST,,,
20190580785,08/05/2019 05:48:00 AM,2,0,0,,N,109534,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,LEBANON PKE & OMOHUNDRO PL,NASHVILLE,TN,37210,9011,HERMIT,36.1545,-86.7398,POINT (-86.7398 36.1545)
20190641891,08/28/2019 12:01:00 AM,1,0,0,Y,Y,109495,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,99,UNKNOWN,9,UNKNOWN,40,MAIL BOX,9TH AVS & 9TH CIRS,NASHVILLE,TN,37203,6807,MIDTOW,36.1456,-86.7804,POINT (-86.7804 36.1456)
20190645221,08/29/2019 02:17:00 PM,2,0,0,,N,299267,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,21ST AVN & CHURCH ST,NASHVILLE,TN,37203,5527,MIDTOW,36.152,-86.8024,POINT (-86.8024 36.152)
20190676636,09/11/2019 04:15:00 PM,2,0,0,,N,256386,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,BELL RD & TRAILS CIR,NASHVILLE,TN,37214,8995,HERMIT,36.1473,-86.6259,POINT (-86.6259 36.1473)
20190687039,09/16/2019 06:09:00 AM,2,0,0,,Y,716886,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 58 4 I 24,ANTIOCH,TN,37013,8857,SOUTH,36.0537,-86.6728,POINT (-86.6728 36.0537)
20190688248,09/16/2019 03:52:00 PM,1,0,0,Y,N,169425,98,OTHER,21,CLEAR,1,DAYLIGHT,63,Ran Off Road-Right,HARDING PL & DANBY DR,NASHVILLE,TN,37211,8503,MIDTOW,36.0785,-86.7449,POINT (-86.7449 36.0785)
20190700404,09/21/2019 10:00:00 AM,2,0,0,,N,902543,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,I65 N ENT RAMP & I 65,NASHVILLE,TN,37207,1829,EAST,36.209,-86.7759,POINT (-86.7759 36.209)
20190708095,09/24/2019 07:40:00 PM,2,2,0,,N,279214,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,HILLSBORO PKE & I440 E ENT RAMP,NASHVILLE,TN,37215,6419,MIDTOW,36.1216,-86.8074,POINT (-86.8074 36.1216)
20190729505,10/03/2019 05:27:00 PM,2,0,0,,N,279116,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,16TH AVS & HORTON AV,NASHVILLE,TN,37212,6621,MIDTOW,36.1403,-86.7944,POINT (-86.7944 36.1403)
20190790766,10/30/2019 05:56:00 AM,2,0,0,,N,493304,11,Front to Rear,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 40 3 I 24,WHITES CREEK,TN,37189,2210,MADISO,36.2798,-86.8023,POINT (-86.8023 36.2798)
20190796688,11/01/2019 05:15:00 PM,2,0,0,,N,311327,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 49 1 I 24,NASHVILLE,TN,37206,10040,EAST,36.1647,-86.7634,POINT (-86.7634 36.1647)
20190805703,11/05/2019 03:40:00 PM,2,0,0,,N,134871,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,5TH AVS & LEA AV,NASHVILLE,TN,37203,4037,CENTRA,36.1541,-86.7743,POINT (-86.7743 36.1541)
20190827167,11/14/2019 12:00:00 AM,2,1,0,,N,352213,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,US HWY 70 & ANNEX AVE,NASHVILLE,TN,37209,5009,WEST,36.1387,-86.8814,POINT (-86.8814 36.1387)
20190910309,12/20/2019 11:38:00 AM,2,0,0,,N,226622,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,51ST AVN & ELKINS AV,NASHVILLE,TN,37209,5131,WEST,36.1497,-86.8484,POINT (-86.8484 36.1497)
20190931088,12/31/2019 03:50:00 AM,2,0,0,,Y,279198,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,14,PARKED MOTOR VEHICLE,MAIN ST & SPRING ST,NASHVILLE,TN,37206,1113,EAST,36.1728,-86.7653,POINT (-86.7653 36.1728)
20190410025,05/29/2019 11:48:00 AM,2,0,0,,N,462474,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,EDMONDSON PKE & DERBY TRC,NASHVILLE,TN,37211,8653,MIDTOW,36.0442,-86.7441,POINT (-86.7441 36.0442)
20190068860,01/26/2019 06:00:00 PM,2,0,0,,N,212330,11,Front to Rear,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,HARDING PL & LINBAR DR,NASHVILLE,TN,37211,8705,SOUTH,36.0841,-86.7059,POINT (-86.7059 36.0841)
20190259118,04/04/2019 06:10:00 AM,1,0,0,,N,879558,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,4,DAWN,50,DEER (ANIMAL),LEBANON PKE & DONELSONWOOD DR,NASHVILLE,TN,37214,9401,HERMIT,36.1675,-86.6595,POINT (-86.6595 36.1675)
20190021371,01/09/2019 08:15:00 AM,2,0,0,,N,224953,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,S 2ND ST & CRUTCHER ST,NASHVILLE,TN,37213,1005,CENTRA,36.1631,-86.7669,POINT (-86.7669 36.1631)
20190400610,05/25/2019 04:50:00 PM,2,0,0,,N,256427,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 212 0 I 40,NASHVILLE,TN,37210,90041,HERMIT,36.147,-86.7433,POINT (-86.7433 36.147)
20190470977,06/21/2019 11:24:00 AM,1,0,0,,N,716886,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,34,DITCH,BURKITT RD & WESTCOTT LN,NOLENSVILLE,TN,37135,8773,SOUTH,35.9912,-86.665,POINT (-86.665 35.9912)
20190566707,07/30/2019 12:35:00 PM,2,0,0,,N,191578,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,ELM HILL PKE & SPENCE LN,NASHVILLE,TN,37210,9017,HERMIT,36.144,-86.7226,POINT (-86.7226 36.144)
20190521096,07/11/2019 08:35:00 AM,2,0,0,,Y,311341,4,ANGLE,99,UNKNOWN,1,DAYLIGHT,12;14,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE,1900 AMBERWOOD CIR,NASHVILLE,TN,37205,4903,WEST,36.0856,-86.9179,POINT (-86.9179 36.0856)
20190468647,06/20/2019 03:00:00 PM,2,0,0,,N,352207,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,HARDING PKE & BRIXWORTH LN,NASHVILLE,TN,37205,6019,WEST,36.1288,-86.8416,POINT (-86.8416 36.1288)
20190028513,01/11/2019 05:52:00 PM,2,0,0,,N,320580,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,FAIRFIELD AV & FAIN ST,NASHVILLE,TN,37210,8221,HERMIT,36.1516,-86.7565,POINT (-86.7565 36.1516)
20190004015,01/02/2019 02:40:00 PM,3,0,0,,Y,197435,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,DICKERSON PKE & BROADMOOR DR,NASHVILLE,TN,37207,1811,EAST,36.2294,-86.7593,POINT (-86.7593 36.2294)
20190317179,04/24/2019 06:25:00 PM,2,0,0,Y,N,306231,4,ANGLE,21,CLEAR,1,DAYLIGHT,12;14,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE,LAGRANGE DR & SNELL BLVD,NASHVILLE,TN,37218,3173,NORTH,36.18,-86.8386,POINT (-86.8386 36.18)
20190465737,06/19/2019 12:00:00 AM,2,0,0,,Y,212344,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,S 11TH ST & LILLIAN ST,NASHVILLE,TN,37206,1205,EAST,36.1729,-86.7505,POINT (-86.7505 36.1729)
20190454956,06/15/2019 09:30:00 AM,2,0,0,,Y,179602,9,UNKNOWN,21,CLEAR,1,DAYLIGHT,14;55,PARKED MOTOR VEHICLE;Motor Vehicle-In-Motion Outside Trafficw,HAMPTON ST & W TRINITY LN,NASHVILLE,TN,37207,3019,NORTH,36.2074,-86.7786,POINT (-86.7786 36.2074)
20190164714,03/01/2019 12:00:00 AM,2,0,0,,N,279200,4,ANGLE,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MAGAZINE ST & DIVISION ST,NASHVILLE,TN,37203,4019,CENTRA,36.1513,-86.7831,POINT (-86.7831 36.1513)
20190175312,03/05/2019 05:12:00 PM,2,1,0,,N,240968,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,NASHBORO BLVD & MURFREESBORO PKE,NASHVILLE,TN,37217,8935,HERMIT,36.0884,-86.6478,POINT (-86.6478 36.0884)
20190223347,03/22/2019 11:00:00 AM,2,1,0,,N,226136,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,OLD HICKORY BLVD & WOODLAND HILLS DR,NASHVILLE,TN,37211,8651,MIDTOW,36.0387,-86.731,POINT (-86.731 36.0387)
20190170928,03/04/2019 09:50:00 AM,2,0,0,,N,716886,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,ANTIOCH PKE & HARDING PL,NASHVILLE,TN,37211,8847,SOUTH,36.0874,-86.6922,POINT (-86.6922 36.0874)
20190547568,07/22/2019 06:02:00 PM,2,0,0,,N,579971,4,ANGLE,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MURFREESBORO PKE & FOREST VIEW DR,ANTIOCH,TN,37013,8865,SOUTH,36.0674,-86.6313,POINT (-86.6313 36.0674)
20190575009,08/02/2019 03:18:00 PM,3,0,0,,N,240955,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MURFREESBORO PKE & HAMILTON CHURCH RD,ANTIOCH,TN,37013,8865,SOUTH,36.0649,-86.6286,POINT (-86.6286 36.0649)
20190431408,06/06/2019 11:43:00 AM,3,1,0,,N,630627,11,Front to Rear,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,21ST AVS & SCARRITT PL,NASHVILLE,TN,37212,6709,MIDTOW,36.1464,-86.7995,POINT (-86.7995 36.1464)
20190292476,04/16/2019 02:49:00 PM,2,0,0,,N,256380,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,I65 N EXT RAMP & I 65,NASHVILLE,TN,37207,1863,EAST,36.2057,-86.7747,POINT (-86.7747 36.2057)
20190343838,05/04/2019 10:40:00 PM,1,1,0,,N,212335,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,8,PEDESTRIAN,CHARLOTTE AV & ROSA L PARKS BLVD,NASHVILLE,TN,37203,4147,CENTRA,36.1634,-86.7876,POINT (-86.7876 36.1634)
20190374350,05/16/2019 07:39:00 AM,2,0,0,,N,191578,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,LEBANON PKE & RACHELS LN,HERMITAGE,TN,37076,9535,HERMIT,36.2106,-86.609,POINT (-86.609 36.2106)
20190503894,07/04/2019 10:15:00 AM,2,0,0,,N,109534,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,I24 W EXT RAMP & SPENCE LN,NASHVILLE,TN,37217,8801,SOUTH,36.1358,-86.725,POINT (-86.725 36.1358)
20190070425,01/27/2019 10:02:00 AM,2,1,0,,N,256428,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,I65 N EXT RAMP & I65 N ENT RAMP,NASHVILLE,TN,37207,1863,EAST,36.2061,-86.774,POINT (-86.774 36.2061)
20190243369,03/29/2019 10:00:00 AM,2,0,0,,N,226136,4,ANGLE,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,21ST AVS & SWEETBRIAR AV,NASHVILLE,TN,37212,6509,MIDTOW,36.126,-86.805,POINT (-86.805 36.126)
20190097761,02/05/2019 05:40:00 PM,2,0,0,,N,420040,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,I 65 & I440 ENT RAMP,NASHVILLE,TN,37204,70182,MIDTOW,36.1108,-86.7707,POINT (-86.7707 36.1108)
20190392035,05/22/2019 06:55:00 PM,2,0,0,,Y,905011,16,Rear to Side,21,CLEAR,5,DUSK,14,PARKED MOTOR VEHICLE,TENNESSEE AV & 48TH AVN,NASHVILLE,TN,37209,4573,WEST,36.1611,-86.8458,POINT (-86.8458 36.1611)
20190256937,04/03/2019 11:59:00 AM,2,0,0,,N,834798,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 209 8 I 40,NASHVILLE,TN,37203,4004,CENTRA,36.149,-86.7794,POINT (-86.7794 36.149)
20190164482,03/01/2019 02:20:00 PM,3,0,0,,N,716886,11,Front to Rear,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,OLD HICKORY BLVD & OWEN DR,ANTIOCH,TN,37013,8869,SOUTH,36.0183,-86.6196,POINT (-86.6196 36.0183)
20190575339,08/02/2019 03:50:00 PM,2,0,0,,Y,330428,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,HILLSBORO PKE & OLD HICKORY BLVD,BRENTWOOD,TN,37027,6301,MIDTOW,36.0471,-86.863,POINT (-86.863 36.0471)
20190043707,01/17/2019 08:55:00 AM,2,0,0,,Y,226622,5,SIDESWIPE - SAME DIRECTION,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,BRILEY PKWYS & BRILEY PKWYN,NASHVILLE,TN,37218,3212,NORTH,36.2142,-86.8724,POINT (-86.8724 36.2142)
20190052146,01/20/2019 08:52:00 PM,2,0,0,,Y,642287,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,45,WORKING MOTOR VEHICLE,LENORE ST & S 6TH ST,NASHVILLE,TN,37206,1015,EAST,36.1638,-86.7576,POINT (-86.7576 36.1638)
20190451977,06/14/2019 06:45:00 AM,2,1,0,,Y,665896,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 212 0 I 40,NASHVILLE,TN,37210,90041,HERMIT,36.147,-86.7433,POINT (-86.7433 36.147)
20190166618,03/02/2019 11:24:00 AM,2,0,0,,N,311325,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,LEBANON PKE & ANDREW JACKSON PKWY,HERMITAGE,TN,37076,9537,HERMIT,36.2151,-86.5962,POINT (-86.5962 36.2151)
20190171821,03/04/2019 02:45:00 PM,3,0,0,,N,256412,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,0 SADDLECREEK WAY,ANTIOCH,TN,37013,8867,SOUTH,36.036,-86.6119,POINT (-86.6119 36.036)
20190032886,01/13/2019 06:05:00 PM,2,0,0,,N,320585,11,Front to Rear,22,CLOUDY,2,DARK - NOT LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,I40 W ENT RAMP & I 40,NASHVILLE,TN,37210,9007,HERMIT,36.1484,-86.7454,POINT (-86.7454 36.1484)
20190294342,04/17/2019 03:38:00 AM,3,2,0,,N,256382,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,ROYAL PKWY & DONELSON PKE,NASHVILLE,TN,37214,9103,HERMIT,36.1463,-86.6689,POINT (-86.6689 36.1463)
20190221108,03/21/2019 05:34:00 PM,1,0,0,Y,Y,429193,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,30;40;42,UTILITY POLE;MAIL BOX;TREE,OLD CHARLOTTE PKE & SULLIVAN HOLLOW RD P,NASHVILLE,TN,37221,4709,WEST,36.1191,-86.9445,POINT (-86.9445 36.1191)
20190478032,06/24/2019 07:24:00 PM,2,1,0,,N,256383,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,NOLENSVILLE PKE & YELTON CT,NASHVILLE,TN,37211,8435,SOUTH,36.0911,-86.7348,POINT (-86.7348 36.0911)
20190428253,06/05/2019 09:51:00 AM,2,0,0,,Y,109534,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12;99,MOTOR VEHICLE IN TRANSPORT;UNKNOWN MOST HARMFUL EVENT,MM 48 0 I 24,NASHVILLE,TN,37213,1908,CENTRA,36.1759,-86.7721,POINT (-86.7721 36.1759)
20190552716,07/24/2019 03:37:00 PM,2,2,0,,N,197047,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,BRANCH ST & CAHAL AV,NASHVILLE,TN,37206,1335,EAST,36.1949,-86.726,POINT (-86.726 36.1949)
20190295300,04/17/2019 10:20:00 AM,2,0,0,,Y,352198,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,I440 E EXT RAMP & WEST END AV,NASHVILLE,TN,37205,5249,WEST,36.1366,-86.8221,POINT (-86.8221 36.1366)
20190271359,04/09/2019 12:00:00 AM,2,0,0,,Y,146772,9,UNKNOWN,99,UNKNOWN,9,UNKNOWN,14,PARKED MOTOR VEHICLE,3700 VILLAGE HILLS PVTDR,MADISON,TN,37115,2019,MADISO,36.259,-86.7572,POINT (-86.7572 36.259)
20190085628,02/01/2019 06:06:00 AM,3,1,0,,N,279201,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,LEBANON PKE & IVYWOOD DR,NASHVILLE,TN,37210,9019,HERMIT,36.1558,-86.711,POINT (-86.711 36.1558)
20190378062,05/17/2019 12:04:00 PM,2,1,0,,Y,876581,4,ANGLE,21,CLEAR,1,DAYLIGHT,55,Motor Vehicle-In-Motion Outside Trafficw,2232 GALLATIN PKEN,MADISON,TN,37115,1721,MADISO,36.3073,-86.6848,POINT (-86.6848 36.3073)
20190452933,06/14/2019 02:45:00 PM,3,0,0,,Y,352161,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,HARDING PL & ANTIOCH PKE,NASHVILLE,TN,37211,8847,SOUTH,36.0875,-86.6921,POINT (-86.6921 36.0875)
20190184332,03/08/2019 01:18:00 PM,2,0,0,,N,191578,4,ANGLE,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MURFREESBORO PKE & BRITISH WOODS DR,NASHVILLE,TN,37217,8853,SOUTH,36.0914,-86.6514,POINT (-86.6514 36.0914)
20190383092,05/19/2019 03:31:00 PM,2,0,0,,N,299257,11,Front to Rear,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 210 1 I 40,NASHVILLE,TN,37203,4006,CENTRA,36.1492,-86.7751,POINT (-86.7751 36.1492)
20190120314,02/13/2019 07:41:00 PM,1,0,0,,N,151132,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,36,CONCRETE TRAFFIC BARRIER,MM 90 3 I 65,MADISON,TN,37115,20044,MADISO,36.2409,-86.7515,POINT (-86.7515 36.2409)
20190320474,04/25/2019 07:40:00 PM,2,0,0,,Y,352164,5,SIDESWIPE - SAME DIRECTION,2,RAIN,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,MURFREESBORO PKE & LAKEVILLA DR,ANTIOCH,TN,37013,8861,SOUTH,36.0767,-86.6409,POINT (-86.6409 36.0767)
20190129467,02/17/2019 04:50:00 AM,1,0,0,,N,212321,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,36,CONCRETE TRAFFIC BARRIER,BLUE HOLE RD & BLUE HOLE RD PVTDR,ANTIOCH,TN,37013,8859,SOUTH,36.0553,-86.6724,POINT (-86.6724 36.0553)
20190447654,06/12/2019 07:01:00 PM,2,0,0,,N,887598,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,CLARKSVILLE PKE & BUENA VISTA PKE,NASHVILLE,TN,37218,3135,NORTH,36.1935,-86.8309,POINT (-86.8309 36.1935)
