Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location
20190788101,10/29/2019 07:44:00 AM,3,1,0,,N,279113,98,OTHER,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,ATRIUM WAY & ELM HILL PKE,NASHVILLE,TN,37214,9107,HERMIT,36.1535,-86.6877,POINT (-86.6877 36.1535)
20190902707,12/17/2019 01:30:00 PM,2,0,0,,N,226622,5,SIDESWIPE - SAME DIRECTION,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,WHITE BRIDGE PKE & LENOX AV,NASHVILLE,TN,37209,5103,WEST,36.1493,-86.8579,POINT (-86.8579 36.1493)
20190862206,11/29/2019 11:00:00 PM,2,0,0,,N,330414,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,US HWY 31E & E WEBSTER ST,MADISON,TN,37115,1507,MADISO,36.2524,-86.7174,POINT (-86.7174 36.2524)
20190846323,11/22/2019 02:47:00 PM,2,0,0,,N,256446,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MURFREESBORO PKE & HOBSON PKE,ANTIOCH,TN,37013,8927,SOUTH,36.1576,-86.6584,POINT (-86.6584 36.1576)
20190746026,10/10/2019 10:06:00 PM,2,0,0,,Y,468098,11,Front to Rear,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,NOLENSVILLE PKE & TUSCULUM RD,NASHVILLE,TN,37211,8715,SOUTH,36.0587,-86.7162,POINT (-86.7162 36.0587)
20190676033,09/11/2019 12:06:00 PM,3,0,0,,N,876573,98,OTHER,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MURFREESBORO PKE & MOUNTAIN SPRINGS RD,ANTIOCH,TN,37013,8927,SOUTH,36.0478,-86.6121,POINT (-86.6121 36.0478)
20190631657,08/23/2019 10:38:00 PM,2,0,0,,Y,279117,4,ANGLE,21,CLEAR,2,DARK - NOT LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,FERN AV & WHITES CREEK PKE,NASHVILLE,TN,37207,1867,EAST,36.1955,-86.7751,POINT (-86.7751 36.1955)
20190619224,08/19/2019 05:20:00 PM,4,0,0,,Y,717341,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,BURKITT RD & BATTLE RD,ANTIOCH,TN,37013,8771,SOUTH,36.0594,-86.7161,POINT (-86.7161 36.0594)
20190886426,12/10/2019 01:05:00 PM,2,0,0,,N,109534,11,Front to Rear,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,KNIGHTS OF COLUMBUS BLVD & I40 E ENT RAM,NASHVILLE,TN,37217,8951,HERMIT,36.1422,-86.6967,POINT (-86.6967 36.1422)
20190669362,09/08/2019 12:00:00 AM,2,0,0,,Y,279118,4,ANGLE,21,CLEAR,7,Dark-Unknown Lighting,12,MOTOR VEHICLE IN TRANSPORT,WILCLAY DR & CHARLOTTE PKE,NASHVILLE,TN,37209,5023,WEST,36.1432,-86.876,POINT (-86.876 36.1432)
20190767218,10/19/2019 11:43:00 PM,1,0,0,,N,298879,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),OLD HARDING PKE & HARPETH RIV MORTON MIL,NASHVILLE,TN,37221,4819,WEST,36.0579,-86.9456,POINT (-86.9456 36.0579)
20190925330,12/28/2019 08:11:00 AM,1,1,0,,N,224437,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,8,"SMOG, SMOKE",1,DAYLIGHT,2;24;63;72,GUARDRAIL FACE;Ran Off Road-Right;EMBANKMENT ROCK/STONE/CONCRETE,MM 51 5 I 24,NASHVILLE,TN,37210,9004,HERMIT,36.1404,-86.7287,POINT (-86.7287 36.1404)
20190719826,09/29/2019 08:12:00 PM,1,0,0,,N,299257,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,,,36,CONCRETE TRAFFIC BARRIER,MM 5 8 I 440,NASHVILLE,TN,37204,83062,MIDTOW,36.1217,-86.7596,POINT (-86.7596 36.1217)
20190698988,09/20/2019 06:17:00 PM,2,2,0,,N,320599,4,ANGLE,21,CLEAR,5,DUSK,12,MOTOR VEHICLE IN TRANSPORT,JUAREZ DR & HERMITAGE MARKETPLACE PVTDR,HERMITAGE,TN,37076,9507,HERMIT,36.1924,-86.6162,POINT (-86.6162 36.1924)
20190603754,08/13/2019 04:21:00 PM,2,0,0,,N,256446,4,ANGLE,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MURFREESBORO PKE & HAMILTON CHURCH RD,ANTIOCH,TN,37013,8865,SOUTH,36.0649,-86.6286,POINT (-86.6286 36.0649)
20190607956,08/15/2019 07:08:00 AM,2,0,0,,N,109534,11,Front to Rear,,,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,PITTS AV & LAKESHORE DR,OLD HICKORY,TN,37138,9723,HERMIT,36.2388,-86.63,POINT (-86.63 36.2388)
20190753273,10/14/2019 08:35:00 AM,2,0,0,,Y,320592,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,BRILEY PKWYN & BRILEY PKWY N EXT RAMP,NASHVILLE,TN,37214,9294,HERMIT,36.1977,-86.688,POINT (-86.688 36.1977)
20190678018,09/12/2019 07:16:00 AM,1,1,0,,N,306231,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,36,CONCRETE TRAFFIC BARRIER,BRILEY PKWYN & BRILEY PKWYS,NASHVILLE,TN,37211,8404,SOUTH,36.1092,-86.727,POINT (-86.727 36.1092)
20190844765,11/21/2019 11:53:00 PM,1,0,0,,N,212334,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,3,DARK - LIGHTED,24,GUARDRAIL FACE,MM 40 3 I 24,WHITES CREEK,TN,37189,2210,MADISO,36.2798,-86.8023,POINT (-86.8023 36.2798)
20190888853,10/15/2019 11:45:00 AM,2,0,0,,N,716886,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MORRIS GENTRY BLVD & MURFREESBORO PKE,ANTIOCH,TN,37013,8865,SOUTH,36.0673,-86.6314,POINT (-86.6314 36.0673)
20190791713,10/30/2019 03:22:00 PM,2,0,0,,Y,330444,4,ANGLE,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,LYLE AVE & US HWY 431,NASHVILLE,TN,37203,5711,MIDTOW,36.1503,-86.7972,POINT (-86.7972 36.1503)
20190698456,09/20/2019 12:45:00 PM,2,0,0,,N,716886,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,HEIL QUAKER BLVD & CORPORATE PL,ANTIOCH,TN,37013,8869,SOUTH,36.0147,-86.6083,POINT (-86.6083 36.0147)
20190715991,09/27/2019 08:39:00 PM,1,0,0,,Y,384411,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,1,,NASHBORO BLVD PVTDR & NASHBORO BLVD,NASHVILLE,TN,37217,8937,HERMIT,36.0887,-86.6418,POINT (-86.6418 36.0887)
20190680768,09/13/2019 06:13:00 AM,2,1,0,,N,320575,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 55 9 I 24,NASHVILLE,TN,37211,88100,SOUTH,36.0833,-86.6982,POINT (-86.6982 36.0833)
20190817191,11/10/2019 02:30:00 PM,2,0,0,,N,256384,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,I24E & I24 W ENT RAMP,NASHVILLE,TN,37210,82061,HERMIT,36.1386,-86.7273,POINT (-86.7273 36.1386)
20190763546,10/18/2019 09:10:00 AM,2,0,0,,N,716886,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,NOLENSVILLE PKE & ROSEDALE AV,NASHVILLE,TN,37211,8043,MIDTOW,36.125,-86.7522,POINT (-86.7522 36.125)
20190627900,08/22/2019 05:00:00 PM,2,0,0,,N,337276,11,Front to Rear,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 89 0 I 65,NASHVILLE,TN,37207,20020,MADISO,36.2309,-86.7709,POINT (-86.7709 36.2309)
